time,mean_pressure,min_pressure,max_pressure,std_pressure,pressure_range,anomaly
87300,53.38766002198497,-1.2939453e-06,100.20667,19.707544938087924,100.2066712939453,0
88200,53.42497833536877,-1.2939453e-06,100.27904,19.72093979531468,100.2790412939453,0
89100,53.46202473284352,-1.2939453e-06,100.351,19.734625487722752,100.3510012939453,0
90000,54.11172189168193,-1.2939453e-06,101.66977,20.18067574995431,101.6697712939453,0
90900,54.166151953045585,-1.2939453e-06,101.78553,20.199019530856646,101.7855312939453,0
91800,55.45695243612634,-1.2939453e-06,101.92093,20.095763691333175,101.9209312939453,0
92700,55.53451496642943,-1.2939453e-06,102.03921,20.10788642281467,102.0392112939453,0
93600,54.447862155570846,-1.2939453e-06,102.1789,19.22413925763584,102.1789012939453,0
94500,54.45407896163147,-1.2939453e-06,102.30066,19.256510781608185,102.3006612939453,0
95400,54.4602726035506,-1.2939453e-06,102.422226,19.289512345512566,102.4222272939453,0
96300,54.46648712299509,-1.2939453e-06,102.543625,19.32319670421973,102.54362629394531,0
97200,54.606417480570826,-1.2939453e-06,103.12427,19.450798332787897,103.1242712939453,0
98100,53.59216797880313,-1.2939453e-06,103.70372,17.97813151353056,103.7037212939453,0
99000,52.03833331844965,-1.2939453e-06,90.638435,17.004060797447885,90.6384362939453,0
99900,51.96730758385368,-1.2939453e-06,90.397064,17.00677231906667,90.3970652939453,0
100800,52.34038444016682,-1.2939453e-06,94.34711,17.55738770302558,94.3471112939453,0
101700,52.31117531238904,-1.2939453e-06,94.49365,17.56397983331107,94.4936512939453,0
102600,52.285857462641516,-1.2939453e-06,94.63968,17.571592659263555,94.6396812939453,0
103500,52.26053959370209,-1.2939453e-06,94.78544,17.580472501187394,94.7854412939453,0
104400,53.46240529041934,-1.2939453e-06,102.04747,18.196495600523658,102.0474712939453,0
105300,53.4998236780455,-1.2939453e-06,102.1823,18.214100173272623,102.1823012939453,0
106200,53.882921515924394,-1.2939453e-06,102.316444,18.53540777598545,102.3164452939453,0
107100,53.93007189976278,-1.2939453e-06,102.44968,18.557993217643602,102.4496812939453,0
108000,53.18992193637898,-1.2939453e-06,101.17285,18.22828429160928,101.1728512939453,0
108900,53.209771426530494,-1.2939453e-06,101.26718,18.247207719308157,101.2671812939453,0
109800,53.54687712678289,-1.2939453e-06,101.343765,18.314559688895464,101.34376629394531,0
110700,53.58272457678298,-1.2939453e-06,101.428764,18.307686832657645,101.4287652939453,0
111600,53.302290870469825,-1.2939453e-06,101.012886,18.039160307743465,101.0128872939453,0
112500,53.32609257754057,-1.2939453e-06,101.08004,18.02964413805257,101.0800412939453,0
113400,53.34969460986375,-1.2939453e-06,101.14578,18.020235834647195,101.1457812939453,0
114300,53.37329562400515,-1.2939453e-06,101.21137,18.011032340821558,101.2113712939453,0
115200,52.91091128132844,-1.2939453e-06,100.64539,17.81801869809047,100.64539129394531,0
116100,52.91638579673249,-1.2939453e-06,100.68569,17.80819758052949,100.6856912939453,0
117000,52.921485492691964,-1.2939453e-06,100.723236,17.798341358835902,100.7232372939453,0
117900,52.92662517754052,-1.2939453e-06,100.76069,17.7886518187237,100.7606912939453,0
118800,52.75552508284359,-1.2939453e-06,100.031555,17.770123182171496,100.0315562939453,0
119700,52.754889095974896,-1.2939453e-06,100.031525,17.759031877653463,100.0315262939453,0
120600,52.7535167601163,-1.2939453e-06,100.02607,17.747693764686357,100.02607129394531,0
121500,52.75218446567186,-1.2939453e-06,100.02062,17.73650611326842,100.0206212939453,0
122400,52.53489902223748,-1.2939453e-06,100.03416,17.63165379921559,100.0341612939453,0
123300,53.829313001277896,-1.2939453e-06,99.915535,18.931753663447914,99.91553629394531,0
124200,53.82885306087386,-1.2939453e-06,99.899635,18.93372555530857,99.8996362939453,0
125100,53.82836657678297,-1.2939453e-06,99.883705,18.935772993186497,99.88370629394531,0
126000,54.03454073486382,-1.2939453e-06,99.70489,19.037889988346762,99.70489129394531,0
126900,54.032186793954686,-1.2939453e-06,99.67873,19.040042632766344,99.6787312939453,0
127800,54.02977563663143,-1.2939453e-06,99.65219,19.042264155074932,99.65219129394531,0
128700,54.02736108132849,-1.2939453e-06,99.625656,19.044575085652788,99.62565729394531,0
129600,54.331584997490054,-1.2939453e-06,100.68522,19.13264966605577,100.6852212939453,0
130500,54.34921432375265,-1.2939453e-06,100.73111,19.138123867208588,100.7311112939453,0
131400,54.36502354016679,-1.2939453e-06,100.76518,19.14300535100386,100.7651812939453,0
132300,54.380783756580996,-1.2939453e-06,100.799095,19.14796010589818,100.7990962939453,0
133200,54.24379416036881,-1.2939453e-06,100.18075,19.259098429508384,100.1807512939453,0
134100,54.24983702451023,-1.2939453e-06,100.18733,19.287456331169476,100.1873312939453,0
135000,54.255025827288016,-1.2939453e-06,100.18958,19.31574627128392,100.18958129394531,0
135900,53.34370002350016,-1.2939453e-06,100.19766,18.704554162489917,100.1976612939453,0
136800,53.53294527703554,-1.2939453e-06,100.405426,18.83894171359165,100.40542729394531,0
137700,53.48781515986383,-1.2939453e-06,100.42106,18.873824505696422,100.4210612939453,0
138600,53.44258951794456,-1.2939453e-06,100.43627,18.90951054946585,100.4362712939453,0
139500,53.39744574243958,-1.2939453e-06,100.45152,18.946049661039986,100.4515212939453,0
140400,50.65602694269207,-1.2939453e-06,87.51775,16.654587085425796,87.51775129394531,1
141300,51.125830077035474,-1.2939453e-06,92.179306,17.180374809889543,92.1793072939453,1
142200,51.0588871588537,-1.2939453e-06,92.26339,17.193690804725204,92.2633912939453,1
143100,50.992042569964845,-1.2939453e-06,92.34739,17.208654635819347,92.34739129394531,1
144000,52.705417124510255,-1.2939453e-06,100.15921,17.846033964003144,100.1592112939453,0
144900,52.71633311516677,-1.2939453e-06,100.226234,17.861216572727805,100.22623529394531,0
145800,53.07404467476274,-1.2939453e-06,100.28065,17.979602472225643,100.2806512939453,0
146700,53.10304932350021,-1.2939453e-06,100.34452,17.969874714743522,100.3445212939453,0
147600,53.17122677754056,-1.2939453e-06,100.55676,17.9709297576328,100.5567612939453,0
148500,53.45399562072234,-1.2939453e-06,100.68261,18.155073245732762,100.6826112939453,0
149400,53.49298401466178,-1.2939453e-06,100.75389,18.14811693447956,100.7538912939453,0
150300,53.53193544395471,-1.2939453e-06,100.825,18.14139635275635,100.8250012939453,0
151200,53.654280653298166,-1.2939453e-06,101.1953,18.208757524211933,101.1953012939453,0
152100,53.722271203298114,-1.2939453e-06,101.39407,18.216167468704047,101.3940712939453,0
153000,53.765972473752655,-1.2939453e-06,101.48037,18.21243358308873,101.4803712939453,0
153900,53.809495150772875,-1.2939453e-06,101.565765,18.208899634088045,101.5657662939453,0
154800,53.59096879546983,-1.2939453e-06,101.46361,18.11265516804426,101.4636112939453,0
155700,53.62787063385368,-1.2939453e-06,101.54131,18.10798362349199,101.5413112939453,0
156600,53.66466505228803,-1.2939453e-06,101.61862,18.103539034826,101.61862129394531,0
157500,53.701372718197135,-1.2939453e-06,101.69572,18.09933831660615,101.6957212939453,0
158400,53.36032527930824,-1.2939453e-06,100.659134,17.89481445921481,100.6591352939453,0
159300,52.582816152793065,-1.2939453e-06,100.703316,17.18290024268379,100.7033172939453,0
160200,53.4078706181971,-1.2939453e-06,100.43601,17.39014010903358,100.4360112939453,0
161100,53.38750359774261,-1.2939453e-06,100.43861,17.40069462522151,100.4386112939453,0
162000,54.37543432930817,-1.2939453e-06,100.433044,18.786205432839193,100.4330452939453,0
162900,54.35226897577288,-1.2939453e-06,100.4385,18.819598796959692,100.43850129394531,0
163800,54.816982377287985,-1.2939453e-06,100.441574,19.055983120779953,100.4415752939453,0
164700,52.92374361693453,-1.2939453e-06,97.45788,18.700509664505397,97.4578812939453,0
165600,52.25229238890417,-1.2939453e-06,97.335976,18.720238786264968,97.3359772939453,0
166500,52.16814619142939,-1.2939453e-06,97.40085,18.778974899101346,97.40085129394531,0
167400,52.08471499370215,-1.2939453e-06,97.465485,18.839366344089246,97.4654862939453,0
168300,54.13494213764158,-1.2939453e-06,98.52065,19.058584007012307,98.5206512939453,0
169200,54.15521556743946,-1.2939453e-06,98.371475,18.900271687168807,98.3714762939453,0
170100,54.148930514156724,-1.2939453e-06,98.34234,18.93255645923457,98.3423412939453,0
171000,54.142513100520354,-1.2939453e-06,98.31252,18.96509143827541,98.31252129394531,0
171900,54.13598668057088,-1.2939453e-06,98.282234,18.997892004952956,98.2822352939453,0
172800,54.20439180531831,-1.2939453e-06,98.653114,19.16398437723997,98.6531152939453,0
173700,54.2059263601163,-1.2939453e-06,98.64521,19.198448124758396,98.64521129394531,0
174600,54.401573715419424,-1.2939453e-06,98.63477,19.360903821639027,98.6347712939453,0
175500,54.40831743612635,-1.2939453e-06,98.62394,19.39647604056418,98.62394129394531,0
176400,54.789007989156715,-1.2939453e-06,98.20856,19.43305681988821,98.20856129394531,0
177300,54.82061577728797,-1.2939453e-06,98.17634,19.43831926326348,98.1763412939453,0
178200,54.85176569193447,-1.2939453e-06,98.14179,19.443628406453353,98.1417912939453,0
179100,54.8827189353688,-1.2939453e-06,98.10678,19.449056056531642,98.1067812939453,0
180000,56.401318584106235,-1.2939453e-06,100.36106,20.007805125034764,100.3610612939453,0
180900,56.48412859142944,-1.2939453e-06,100.447845,20.01334361810049,100.4478462939453,0
181800,55.64454195784359,-1.2939453e-06,101.01177,18.904107218007844,101.0117712939453,0
182700,55.719511036378854,-1.2939453e-06,101.08743,18.905565256693194,101.0874312939453,0
183600,56.66775020329809,-1.2939453e-06,102.91144,19.314797381002695,102.9114412939453,0
184500,56.77213869385364,-1.2939453e-06,103.039,19.320809762503718,103.0390012939453,0
185400,55.81726738322238,-1.2939453e-06,103.95477,19.13380240538134,103.9547712939453,0
186300,55.90605587059608,-1.2939453e-06,104.12724,19.133337796147426,104.1272412939453,0
187200,55.623709283853685,-1.2939453e-06,105.27588,18.447547305696652,105.2758812939453,0
188100,55.67679937804559,-1.2939453e-06,105.47478,18.450012245818264,105.4747812939453,0
189000,54.06045585178295,-1.2939453e-06,92.14442,17.46070087464713,92.1444212939453,0
189900,54.03817029092434,-1.2939453e-06,91.96564,17.445716501202515,91.9656412939453,0
190800,53.75372164269205,-1.2939453e-06,92.24299,17.324690149867006,92.24299129394531,0
191700,53.72244011390417,-1.2939453e-06,92.08485,17.327445920139866,92.0848512939453,0
192600,53.69162165910621,-1.2939453e-06,91.928215,17.33100244952652,91.9282162939453,0
193500,53.66095594193446,-1.2939453e-06,91.771576,17.335299106237336,91.7715772939453,0
194400,52.90574832728801,-1.2939453e-06,90.75059,17.102191075966896,90.7505912939453,0
195300,52.84056961516681,-1.2939453e-06,90.54856,17.10980284294774,90.5485612939453,0
196200,54.41869968940921,-1.2939453e-06,104.14577,18.05745472444696,104.1457712939453,0
197100,54.06293486870214,-1.2939453e-06,104.205894,18.464519033409584,104.2058952939453,0
198000,53.72894783309615,-1.2939453e-06,102.62446,18.265577986602025,102.6244612939453,0
198900,53.75678672451027,-1.2939453e-06,102.7685,18.280764101768753,102.7685012939453,0
199800,53.78344837400527,-1.2939453e-06,102.9048,18.295981661349806,102.9048012939453,0
200700,53.80998662754048,-1.2939453e-06,103.04068,18.311768898588323,103.0406812939453,0
201600,53.200207212136526,-1.2939453e-06,102.223595,18.067549726412675,102.2235962939453,0
202500,53.556562963399124,-1.2939453e-06,102.333755,18.39606277598975,102.3337562939453,0
203400,53.57177730254057,-1.2939453e-06,102.43969,18.414693253787078,102.4396912939453,0
204300,53.58688243486372,-1.2939453e-06,102.54529,18.43382390818923,102.5452912939453,0
205200,50.583308492692,-1.2939453e-06,95.611824,17.104294404610577,95.6118252939453,1
206100,50.47684987602545,-1.2939453e-06,95.67284,17.114989958513537,95.6728412939453,1
207000,50.37219702577286,-1.2939453e-06,95.73307,17.127172038696582,95.7330712939453,1
207900,50.26763936289409,-1.2939453e-06,95.793015,17.140779100427793,95.7930162939453,1
208800,52.25105984597494,-1.2939453e-06,99.74244,18.104335755886677,99.7424412939453,0
209700,51.68275850102546,-1.2939453e-06,99.80994,17.338886701809518,99.8099412939453,0
210600,51.634088273247606,-1.2939453e-06,99.8558,17.33217346618945,99.8558012939453,0
211500,51.58575570557081,-1.2939453e-06,99.90146,17.326856533226678,99.9014612939453,0
212400,51.068400060368795,-1.2939453e-06,99.085815,17.071911302362327,99.0858162939453,1
213300,52.26294333940919,-1.2939453e-06,98.98528,18.615806748901885,98.9852812939453,0
214200,52.68046186087386,-1.2939453e-06,98.9518,18.996835990634086,98.95180129394531,0
215100,52.661510510873896,-1.2939453e-06,98.93941,19.002522073208855,98.9394112939453,0
216000,52.78241045582342,-1.2939453e-06,99.782326,19.072879553389463,99.7823272939453,0
216900,52.77380414420723,-1.2939453e-06,99.81921,19.08162921630564,99.8192112939453,0
217800,52.76421458865166,-1.2939453e-06,99.849396,19.090157682016866,99.8493972939453,0
218700,52.754604088904145,-1.2939453e-06,99.87926,19.098848860097004,99.8792612939453,0
219600,52.7788798338537,-1.2939453e-06,100.05525,19.060021489438782,100.0552512939453,0
220500,52.77804299092445,-1.2939453e-06,100.09076,19.067823201886494,100.0907612939453,0
221400,52.77703399900519,-1.2939453e-06,100.125755,19.07575180519864,100.1257562939453,0
222300,52.77593331339919,-1.2939453e-06,100.16047,19.083861130023717,100.1604712939453,0
223200,52.57052993334865,-1.2939453e-06,99.25388,19.11387731855917,99.2538812939453,0
224100,52.55516980304563,-1.2939453e-06,99.25096,19.121939852561308,99.25096129394531,0
225000,52.53830985102539,-1.2939453e-06,99.23879,19.129555895190656,99.2387912939453,0
225900,52.521401747489996,-1.2939453e-06,99.22643,19.137284258452368,99.2264312939453,0
226800,53.33701994647991,-1.2939453e-06,101.15235,19.497129032864475,101.1523512939453,0
227700,53.51460847703549,-1.2939453e-06,101.24591,19.611542595087627,101.2459112939453,0
228600,53.533055076530474,-1.2939453e-06,101.31786,19.623166425151652,101.3178612939453,0
229500,53.55133708057085,-1.2939453e-06,101.38941,19.635002389626667,101.3894112939453,0
230400,52.15384265531837,-1.2939453e-06,100.52725,18.053688226353554,100.5272512939453,0
231300,52.06487810935866,-1.2939453e-06,100.59823,17.89408215557611,100.5982312939453,0
232200,52.0574738790557,-1.2939453e-06,100.64463,17.90710341778367,100.64463129394531,0
233100,52.050018832086,-1.2939453e-06,100.69086,17.920536212978046,100.6908612939453,0
234000,51.62590480153044,-1.2939453e-06,100.84131,17.83570376779985,100.8413112939453,0
234900,51.60207693461131,-1.2939453e-06,100.89117,17.851841335528963,100.8911712939453,0
235800,51.57820274900516,-1.2939453e-06,100.940735,17.868346546165263,100.9407362939453,0
236700,51.55428509824762,-1.2939453e-06,100.990036,17.885238228272648,100.9900372939453,0
237600,51.57675837350015,-1.2939453e-06,100.36017,17.83768374247854,100.3601712939453,0
238500,51.5515734548133,-1.2939453e-06,100.38102,17.849827476028604,100.38102129394531,0
239400,52.57669179142945,-1.2939453e-06,100.441895,17.88753937945934,100.4418962939453,0
240300,52.57455648688396,-1.2939453e-06,100.46435,17.901215331468322,100.4643512939453,0
241200,51.588286519712305,-1.2939453e-06,99.57955,17.503268283073027,99.5795512939453,0
242100,51.546416969207264,-1.2939453e-06,99.5527,17.514883648945535,99.5527012939453,0
243000,51.86613803587389,-1.2939453e-06,99.50868,17.583722466624195,99.5086812939453,0
243900,51.840667720974906,-1.2939453e-06,99.46952,17.568354449338155,99.4695212939453,0
244800,52.23640818284359,-1.2939453e-06,99.88381,17.78896711392191,99.8838112939453,0
245700,52.23146365067182,-1.2939453e-06,99.88169,17.778006291124935,99.88169129394531,0
246600,52.22612433097492,-1.2939453e-06,99.876656,17.76690770596145,99.8766572939453,0
247500,52.22082676021734,-1.2939453e-06,99.87162,17.75593488022014,99.8716212939453,0
248400,51.76396692307082,-1.2939453e-06,99.72958,17.462005277162366,99.7295812939453,0
249300,51.73964664009101,-1.2939453e-06,99.71556,17.448620486565016,99.7155612939453,0
250200,53.0385592977426,-1.2939453e-06,99.59431,18.756460019911056,99.5943112939453,0
251100,53.02131308663144,-1.2939453e-06,99.56873,18.758500858986906,99.5687312939453,0
252000,53.107977783096096,-1.2939453e-06,99.1812,18.920250618005863,99.1812012939453,0
252900,53.097569642187,-1.2939453e-06,99.13011,18.922401376515108,99.1301112939453,0
253800,53.08680149875263,-1.2939453e-06,99.07683,18.92446916595297,99.0768312939453,0
254700,53.076020721075885,-1.2939453e-06,99.023636,18.926610160517168,99.0236372939453,0
255600,53.3334157250153,-1.2939453e-06,99.129105,19.17243509509557,99.1291062939453,0
256500,53.33588198749005,-1.2939453e-06,99.08954,19.17524154409276,99.0895412939453,0
257400,53.33821374092441,-1.2939453e-06,99.049484,19.17811689057131,99.04948529394531,0
258300,53.34049218524253,-1.2939453e-06,99.00946,19.181094375901335,99.00946129394531,0
259200,54.14480231249005,-1.2939453e-06,100.20944,19.40382927616202,100.2094412939453,0
260100,54.17703031271729,-1.2939453e-06,100.25887,19.410477594370175,100.2588712939453,0
261000,54.206793969585995,-1.2939453e-06,100.29235,19.416311931012736,100.2923512939453,0
261900,54.23645527249003,-1.2939453e-06,100.32571,19.42219788355168,100.3257112939453,0
262800,55.462940516934495,-1.2939453e-06,102.26911,19.973969979877563,102.2691112939453,0
263700,55.53992378713649,-1.2939453e-06,102.385635,19.98443677005936,102.3856362939453,0
264600,55.614629821984984,-1.2939453e-06,102.48815,19.99420269332898,102.48815129394531,0
265500,55.68912930052035,-1.2939453e-06,102.59036,20.004154678548606,102.5903612939453,0
